states,year,week,label,m1_flag,m2,m2_flag,m3_flag,m4_flag,location2,sort_order,location1,geocode,:@computed_region_hjsp_umg2,:@computed_region_skr5_azej,m4,m1,m3
US RESIDENTS,2022,1,Anthrax,-,0,-,-,-,US RESIDENTS,20220100001,,,,,,,
NEW ENGLAND,2022,1,Anthrax,-,0,-,-,-,NEW ENGLAND,20220100002,,,,,,,
CONNECTICUT,2022,1,Anthrax,-,0,-,-,-,,20220100003,CONNECTICUT,"{'type': 'Point', 'coordinates': [-72.738288, 41.575155]}",24,1043,,,
MAINE,2022,1,Anthrax,-,0,-,-,-,,20220100004,MAINE,"{'type': 'Point', 'coordinates': [-69.06137, 45.117911]}",49,1725,,,
MASSACHUSETTS,2022,1,Anthrax,-,0,-,-,-,,20220100005,MASSACHUSETTS,"{'type': 'Point', 'coordinates': [-71.481104, 42.151077]}",25,1916,,,
NEW HAMPSHIRE,2022,1,Anthrax,-,0,-,-,-,,20220100006,NEW HAMPSHIRE,"{'type': 'Point', 'coordinates': [-71.57139, 43.680429]}",26,2405,,,
RHODE ISLAND,2022,1,Anthrax,-,0,-,-,-,,20220100007,RHODE ISLAND,"{'type': 'Point', 'coordinates': [-71.534637, 41.572574]}",27,2703,,,
VERMONT,2022,1,Anthrax,-,0,-,-,-,,20220100008,VERMONT,"{'type': 'Point', 'coordinates': [-72.662695, 44.075252]}",28,905,,,
MIDDLE ATLANTIC,2022,1,Anthrax,-,0,-,-,-,MIDDLE ATLANTIC,20220100009,,,,,,,
NEW JERSEY,2022,1,Anthrax,-,0,-,-,-,,20220100010,NEW JERSEY,"{'type': 'Point', 'coordinates': [-74.655514, 40.110253]}",46,2447,,,
NEW YORK,2022,1,Anthrax,-,0,-,-,-,,20220100011,NEW YORK,"{'type': 'Point', 'coordinates': [-75.59655, 42.921241]}",47,2092,,,
NEW YORK CITY,2022,1,Anthrax,-,0,-,-,-,,20220100012,NEW YORK CITY,,,,,,
PENNSYLVANIA,2022,1,Anthrax,-,0,-,-,-,,20220100013,PENNSYLVANIA,"{'type': 'Point', 'coordinates': [-77.838886, 40.896694]}",48,2495,,,
EAST NORTH CENTRAL,2022,1,Anthrax,-,0,-,-,-,EAST NORTH CENTRAL,20220100014,,,,,,,
ILLINOIS,2022,1,Anthrax,-,0,-,-,-,,20220100015,ILLINOIS,"{'type': 'Point', 'coordinates': [-89.148632, 40.124144]}",34,1721,,,
INDIANA,2022,1,Anthrax,-,0,-,-,-,,20220100016,INDIANA,"{'type': 'Point', 'coordinates': [-86.2818, 39.919991]}",35,1904,,,
MICHIGAN,2022,1,Anthrax,-,0,-,-,-,,20220100017,MICHIGAN,"{'type': 'Point', 'coordinates': [-85.730977, 44.874798]}",50,1262,,,
OHIO,2022,1,Anthrax,-,0,-,-,-,,20220100018,OHIO,"{'type': 'Point', 'coordinates': [-82.70936, 40.415534]}",38,592,,,
WISCONSIN,2022,1,Anthrax,-,0,-,-,-,,20220100019,WISCONSIN,"{'type': 'Point', 'coordinates': [-89.732969, 44.639954]}",41,881,,,
WEST NORTH CENTRAL,2022,1,Anthrax,-,0,-,-,-,WEST NORTH CENTRAL,20220100020,,,,,,,
IOWA,2022,1,Anthrax,-,0,-,-,-,,20220100021,IOWA,"{'type': 'Point', 'coordinates': [-93.500061, 42.074659]}",16,299,,,
KANSAS,2022,1,Anthrax,-,0,-,-,-,,20220100022,KANSAS,"{'type': 'Point', 'coordinates': [-98.38018, 38.484729]}",17,1287,,,
MINNESOTA,2022,1,Anthrax,-,0,-,-,-,,20220100023,MINNESOTA,"{'type': 'Point', 'coordinates': [-94.198308, 46.349153]}",1,1400,,,
MISSOURI,2022,1,Anthrax,-,0,-,-,-,,20220100024,MISSOURI,"{'type': 'Point', 'coordinates': [-92.477244, 38.3675]}",18,2124,,,
NEBRASKA,2022,1,Anthrax,-,0,-,-,-,,20220100025,NEBRASKA,"{'type': 'Point', 'coordinates': [-99.810595, 41.527099]}",19,2243,,,
NORTH DAKOTA,2022,1,Anthrax,-,0,-,-,-,,20220100026,NORTH DAKOTA,"{'type': 'Point', 'coordinates': [-100.46931, 47.446305]}",3,568,,,
SOUTH DAKOTA,2022,1,Anthrax,-,0,-,-,-,,20220100027,SOUTH DAKOTA,"{'type': 'Point', 'coordinates': [-100.230491, 44.43614]}",21,2679,,,
SOUTH ATLANTIC,2022,1,Anthrax,-,0,-,-,-,SOUTH ATLANTIC,20220100028,,,,,,,
DELAWARE,2022,1,Anthrax,-,0,-,-,-,,20220100029,DELAWARE,"{'type': 'Point', 'coordinates': [-75.452394, 38.994926]}",43,1046,,,
DISTRICT OF COLUMBIA,2022,1,Anthrax,-,0,-,-,-,,20220100030,DISTRICT OF COLUMBIA,"{'type': 'Point', 'coordinates': [-77.016275, 38.904785]}",44,1049,,,
FLORIDA,2022,1,Anthrax,-,0,-,-,-,,20220100031,FLORIDA,"{'type': 'Point', 'coordinates': [-82.420978, 28.260731]}",30,1080,,,
GEORGIA,2022,1,Anthrax,-,0,-,-,-,,20220100032,GEORGIA,"{'type': 'Point', 'coordinates': [-83.426574, 32.638481]}",31,1611,,,
MARYLAND,2022,1,Anthrax,-,0,-,-,-,,20220100033,MARYLAND,"{'type': 'Point', 'coordinates': [-76.687282, 38.946466]}",45,418,,,
NORTH CAROLINA,2022,1,Anthrax,-,0,-,-,-,,20220100034,NORTH CAROLINA,"{'type': 'Point', 'coordinates': [-79.130883, 35.52603]}",37,2390,,,
SOUTH CAROLINA,2022,1,Anthrax,-,0,-,-,-,,20220100035,SOUTH CAROLINA,"{'type': 'Point', 'coordinates': [-80.864614, 33.878572]}",33,2581,,,
VIRGINIA,2022,1,Anthrax,-,0,-,-,-,,20220100036,VIRGINIA,"{'type': 'Point', 'coordinates': [-78.666382, 37.510861]}",40,2758,,,
WEST VIRGINIA,2022,1,Anthrax,-,0,-,-,-,,20220100037,WEST VIRGINIA,"{'type': 'Point', 'coordinates': [-80.613729, 38.642579]}",42,2749,,,
EAST SOUTH CENTRAL,2022,1,Anthrax,-,0,-,-,-,EAST SOUTH CENTRAL,20220100038,,,,,,,
ALABAMA,2022,1,Anthrax,-,0,-,-,-,,20220100039,ALABAMA,"{'type': 'Point', 'coordinates': [-86.844516, 32.756889]}",29,94,,,
KENTUCKY,2022,1,Anthrax,-,0,-,-,-,,20220100040,KENTUCKY,"{'type': 'Point', 'coordinates': [-85.290484, 37.526683]}",36,1429,,,
MISSISSIPPI,2022,1,Anthrax,-,0,-,-,-,,20220100041,MISSISSIPPI,"{'type': 'Point', 'coordinates': [-89.65344, 32.713378]}",32,494,,,
TENNESSEE,2022,1,Anthrax,-,0,-,-,-,,20220100042,TENNESSEE,"{'type': 'Point', 'coordinates': [-86.343226, 35.842998]}",39,2108,,,
