Id,IndicatorCode,SpatialDimType,SpatialDim,TimeDimType,ParentLocationCode,ParentLocation,Dim1Type,Dim1,TimeDim,Dim2Type,Dim2,Dim3Type,Dim3,DataSourceDimType,DataSourceDim,Value,NumericValue,Low,High,Comments,Date,TimeDimensionValue,TimeDimensionBegin,TimeDimensionEnd
66048,HIV_0000000007,COUNTRY,MRT,YEAR,AFR,Africa,,,2014,,,,,,,10,10.0,,,,2016-03-21T10:38:38+01:00,2014,2014-01-01T00:00:00+01:00,2014-12-31T00:00:00+01:00
118729,HIV_0000000007,COUNTRY,NIC,YEAR,AMR,Americas,,,2014,,,,,,, 1 208,1208.0,,,,2016-03-21T10:38:46+01:00,2014,2014-01-01T00:00:00+01:00,2014-12-31T00:00:00+01:00
154801,HIV_0000000007,COUNTRY,TUV,YEAR,WPR,Western Pacific,,,2014,,,,,,,8,8.0,,,Public sector only: ANC clinics and Central Hospital.,2016-03-21T10:38:37+01:00,2014,2014-01-01T00:00:00+01:00,2014-12-31T00:00:00+01:00
178124,HIV_0000000007,COUNTRY,TZA,YEAR,AFR,Africa,,,2014,,,,,,, 4 391,4391.0,,,,2016-03-21T10:38:48+01:00,2014,2014-01-01T00:00:00+01:00,2014-12-31T00:00:00+01:00
240457,HIV_0000000007,COUNTRY,SLE,YEAR,AFR,Africa,,,2014,,,,,,,689,689.0,,,,2016-03-21T10:38:44+01:00,2014,2014-01-01T00:00:00+01:00,2014-12-31T00:00:00+01:00
287254,HIV_0000000007,COUNTRY,VEN,YEAR,AMR,Americas,,,2014,,,,,,,No data,,,,,2016-03-21T10:38:50+01:00,2014,2014-01-01T00:00:00+01:00,2014-12-31T00:00:00+01:00
446890,HIV_0000000007,COUNTRY,MNG,YEAR,WPR,Western Pacific,,,2014,,,,,,,89,89.0,,,,2016-03-21T10:38:40+01:00,2014,2014-01-01T00:00:00+01:00,2014-12-31T00:00:00+01:00
448056,HIV_0000000007,COUNTRY,ATG,YEAR,AMR,Americas,,,2014,,,,,,,11,11.0,,,,2016-03-21T10:38:38+01:00,2014,2014-01-01T00:00:00+01:00,2014-12-31T00:00:00+01:00
494461,HIV_0000000007,COUNTRY,GIN,YEAR,AFR,Africa,,,2014,,,,,,,56,56.0,,,,2016-03-21T10:38:40+01:00,2014,2014-01-01T00:00:00+01:00,2014-12-31T00:00:00+01:00
525178,HIV_0000000007,COUNTRY,BWA,YEAR,AFR,Africa,,,2014,,,,,,,668,668.0,,,Include public sector and civil society only.,2016-03-21T10:38:44+01:00,2014,2014-01-01T00:00:00+01:00,2014-12-31T00:00:00+01:00
575187,HIV_0000000007,COUNTRY,AFG,YEAR,EMR,Eastern Mediterranean,,,2014,,,,,,,440,440.0,,,Public sector only.,2016-03-21T10:38:44+01:00,2014,2014-01-01T00:00:00+01:00,2014-12-31T00:00:00+01:00
591021,HIV_0000000007,COUNTRY,SYC,YEAR,AFR,Africa,,,2014,,,,,,,52,52.0,,,,2016-03-21T10:38:40+01:00,2014,2014-01-01T00:00:00+01:00,2014-12-31T00:00:00+01:00
699001,HIV_0000000007,COUNTRY,BGR,YEAR,EUR,Europe,,,2014,,,,,,,199,199.0,,,,2016-03-21T10:38:42+01:00,2014,2014-01-01T00:00:00+01:00,2014-12-31T00:00:00+01:00
827358,HIV_0000000007,COUNTRY,NGA,YEAR,AFR,Africa,,,2014,,,,,,, 8 114,8114.0,,,,2016-03-21T10:38:48+01:00,2014,2014-01-01T00:00:00+01:00,2014-12-31T00:00:00+01:00
852484,HIV_0000000007,COUNTRY,BOL,YEAR,AMR,Americas,,,2014,,,,,,, 1 930,1930.0,,,,2016-03-21T10:38:47+01:00,2014,2014-01-01T00:00:00+01:00,2014-12-31T00:00:00+01:00
1157247,HIV_0000000007,COUNTRY,NPL,YEAR,SEAR,South-East Asia,,,2014,,,,,,,405,405.0,,,,2016-03-21T10:38:43+01:00,2014,2014-01-01T00:00:00+01:00,2014-12-31T00:00:00+01:00
1390392,HIV_0000000007,COUNTRY,MOZ,YEAR,AFR,Africa,,,2014,,,,,,, 1 250,1250.0,,,,2016-03-21T10:38:46+01:00,2014,2014-01-01T00:00:00+01:00,2014-12-31T00:00:00+01:00
1614926,HIV_0000000007,COUNTRY,RWA,YEAR,AFR,Africa,,,2014,,,,,,,536,536.0,,,,2016-03-21T10:38:44+01:00,2014,2014-01-01T00:00:00+01:00,2014-12-31T00:00:00+01:00
1677057,HIV_0000000007,COUNTRY,ZAF,YEAR,AFR,Africa,,,2014,,,,,,, 4 096,4096.0,,,,2016-03-21T10:38:48+01:00,2014,2014-01-01T00:00:00+01:00,2014-12-31T00:00:00+01:00
1727298,HIV_0000000007,COUNTRY,TLS,YEAR,SEAR,South-East Asia,,,2014,,,,,,,55,55.0,,,,2016-03-21T10:38:40+01:00,2014,2014-01-01T00:00:00+01:00,2014-12-31T00:00:00+01:00
1867893,HIV_0000000007,COUNTRY,UGA,YEAR,AFR,Africa,,,2014,,,,,,, 3 365,3365.0,,,No inventory for HTC sites. Data was analysed from number of sites reporting during the reporting period (Jan�Dec 2014).,2016-03-21T10:38:48+01:00,2014,2014-01-01T00:00:00+01:00,2014-12-31T00:00:00+01:00
1869702,HIV_0000000007,COUNTRY,EGY,YEAR,EMR,Eastern Mediterranean,,,2014,,,,,,,73,73.0,,,,2016-03-21T10:38:40+01:00,2014,2014-01-01T00:00:00+01:00,2014-12-31T00:00:00+01:00
1880867,HIV_0000000007,COUNTRY,ERI,YEAR,AFR,Africa,,,2014,,,,,,,255,255.0,,,,2016-03-21T10:38:42+01:00,2014,2014-01-01T00:00:00+01:00,2014-12-31T00:00:00+01:00
2038137,HIV_0000000007,COUNTRY,KGZ,YEAR,EUR,Europe,,,2014,,,,,,,233,233.0,,,,2016-03-21T10:38:42+01:00,2014,2014-01-01T00:00:00+01:00,2014-12-31T00:00:00+01:00
2052317,HIV_0000000007,COUNTRY,BTN,YEAR,SEAR,South-East Asia,,,2014,,,,,,,188,188.0,,,,2016-03-21T10:38:42+01:00,2014,2014-01-01T00:00:00+01:00,2014-12-31T00:00:00+01:00
2075834,HIV_0000000007,COUNTRY,COG,YEAR,AFR,Africa,,,2014,,,,,,,417,417.0,,,,2016-03-21T10:38:44+01:00,2014,2014-01-01T00:00:00+01:00,2014-12-31T00:00:00+01:00
2110988,HIV_0000000007,COUNTRY,CRI,YEAR,AMR,Americas,,,2014,,,,,,,120,120.0,,,,2016-03-21T10:38:41+01:00,2014,2014-01-01T00:00:00+01:00,2014-12-31T00:00:00+01:00
2180035,HIV_0000000007,COUNTRY,ECU,YEAR,AMR,Americas,,,2014,,,,,,,No data,,,,,2016-03-21T10:38:49+01:00,2014,2014-01-01T00:00:00+01:00,2014-12-31T00:00:00+01:00
2186174,HIV_0000000007,COUNTRY,PNG,YEAR,WPR,Western Pacific,,,2014,,,,,,,396,396.0,,,,2016-03-21T10:38:43+01:00,2014,2014-01-01T00:00:00+01:00,2014-12-31T00:00:00+01:00
2204178,HIV_0000000007,COUNTRY,KEN,YEAR,AFR,Africa,,,2014,,,,,,, 9 334,9334.0,,,,2016-03-21T10:38:48+01:00,2014,2014-01-01T00:00:00+01:00,2014-12-31T00:00:00+01:00
2306549,HIV_0000000007,COUNTRY,SRB,YEAR,EUR,Europe,,,2014,,,,,,,26,26.0,,,,2016-03-21T10:38:38+01:00,2014,2014-01-01T00:00:00+01:00,2014-12-31T00:00:00+01:00
2352362,HIV_0000000007,COUNTRY,RUS,YEAR,EUR,Europe,,,2014,,,,,,,No data,,,,,2016-03-21T10:38:50+01:00,2014,2014-01-01T00:00:00+01:00,2014-12-31T00:00:00+01:00
2396977,HIV_0000000007,COUNTRY,KAZ,YEAR,EUR,Europe,,,2014,,,,,,,No data,,,,,2016-03-21T10:38:49+01:00,2014,2014-01-01T00:00:00+01:00,2014-12-31T00:00:00+01:00
2417221,HIV_0000000007,COUNTRY,PAK,YEAR,EMR,Eastern Mediterranean,,,2014,,,,,,,No data,,,,,2016-03-21T10:38:50+01:00,2014,2014-01-01T00:00:00+01:00,2014-12-31T00:00:00+01:00
2582407,HIV_0000000007,COUNTRY,AGO,YEAR,AFR,Africa,,,2014,,,,,,,No data,,,,,2016-03-21T10:38:49+01:00,2014,2014-01-01T00:00:00+01:00,2014-12-31T00:00:00+01:00
2861726,HIV_0000000007,COUNTRY,BRA,YEAR,AMR,Americas,,,2014,,,,,,, 17 523,17523.0,,,,2016-03-21T10:38:48+01:00,2014,2014-01-01T00:00:00+01:00,2014-12-31T00:00:00+01:00
2869305,HIV_0000000007,COUNTRY,MAR,YEAR,EMR,Eastern Mediterranean,,,2014,,,,,,,834,834.0,,,,2016-03-21T10:38:44+01:00,2014,2014-01-01T00:00:00+01:00,2014-12-31T00:00:00+01:00
2889509,HIV_0000000007,COUNTRY,LBR,YEAR,AFR,Africa,,,2014,,,,,,,368,368.0,,,,2016-03-21T10:38:43+01:00,2014,2014-01-01T00:00:00+01:00,2014-12-31T00:00:00+01:00
3061683,HIV_0000000007,COUNTRY,GTM,YEAR,AMR,Americas,,,2014,,,,,,,342,342.0,,,,2016-03-21T10:38:43+01:00,2014,2014-01-01T00:00:00+01:00,2014-12-31T00:00:00+01:00
