Id,IndicatorCode,SpatialDimType,SpatialDim,ParentLocationCode,TimeDimType,ParentLocation,Dim1Type,Dim1,TimeDim,Dim2Type,Dim2,Dim3Type,Dim3,DataSourceDimType,DataSourceDim,Value,NumericValue,Low,High,Comments,Date,TimeDimensionValue,TimeDimensionBegin,TimeDimensionEnd
5633853,HIV_0000000008,COUNTRY,NGA,AFR,YEAR,Africa,,,2014,,,,,,,8,8.0,,,,2016-03-21T10:38:54+01:00,2014,2014-01-01T00:00:00+01:00,2014-12-31T00:00:00+01:00
2795671,HIV_0000000008,COUNTRY,TKM,EUR,YEAR,Europe,,,2014,,,,,,,No data,,,,,2016-03-21T10:38:59+01:00,2014,2014-01-01T00:00:00+01:00,2014-12-31T00:00:00+01:00
5401587,HIV_0000000008,COUNTRY,NAM,AFR,YEAR,Africa,,,2014,,,,,,,22,22.0,,,,2016-03-21T10:38:56+01:00,2014,2014-01-01T00:00:00+01:00,2014-12-31T00:00:00+01:00
7116410,HIV_0000000008,COUNTRY,JOR,EMR,YEAR,Eastern Mediterranean,,,2014,,,,,,,No data,,,,,2016-03-21T10:38:58+01:00,2014,2014-01-01T00:00:00+01:00,2014-12-31T00:00:00+01:00
9231354,HIV_0000000008,COUNTRY,MDA,EUR,YEAR,Europe,,,2014,,,,,,,40,40.0,,,,2016-03-21T10:38:57+01:00,2014,2014-01-01T00:00:00+01:00,2014-12-31T00:00:00+01:00
6084385,HIV_0000000008,COUNTRY,TUN,EMR,YEAR,Eastern Mediterranean,,,2014,,,,,,,<1,,,,,2016-03-21T10:38:59+01:00,2014,2014-01-01T00:00:00+01:00,2014-12-31T00:00:00+01:00
8648146,HIV_0000000008,COUNTRY,KEN,AFR,YEAR,Africa,,,2014,,,,,,,35,35.0,,,,2016-03-21T10:38:57+01:00,2014,2014-01-01T00:00:00+01:00,2014-12-31T00:00:00+01:00
1162475,HIV_0000000008,COUNTRY,MNG,WPR,YEAR,Western Pacific,,,2014,,,,,,,4,4.0,,,,2016-03-21T10:38:53+01:00,2014,2014-01-01T00:00:00+01:00,2014-12-31T00:00:00+01:00
9714727,HIV_0000000008,COUNTRY,LBN,EMR,YEAR,Eastern Mediterranean,,,2014,,,,,,,3,3.0,,,,2016-03-21T10:38:52+01:00,2014,2014-01-01T00:00:00+01:00,2014-12-31T00:00:00+01:00
7666841,HIV_0000000008,COUNTRY,MOZ,AFR,YEAR,Africa,,,2014,,,,,,,9,9.0,,,,2016-03-21T10:38:54+01:00,2014,2014-01-01T00:00:00+01:00,2014-12-31T00:00:00+01:00
1235613,HIV_0000000008,COUNTRY,SOM,EMR,YEAR,Eastern Mediterranean,,,2014,,,,,,,1,1.0,,,,2016-03-21T10:38:51+01:00,2014,2014-01-01T00:00:00+01:00,2014-12-31T00:00:00+01:00
5945269,HIV_0000000008,COUNTRY,EGY,EMR,YEAR,Eastern Mediterranean,,,2014,,,,,,,<1,,,,,2016-03-21T10:38:58+01:00,2014,2014-01-01T00:00:00+01:00,2014-12-31T00:00:00+01:00
6117543,HIV_0000000008,COUNTRY,VCT,AMR,YEAR,Americas,,,2014,,,,,,,4,4.0,,,,2016-03-21T10:38:53+01:00,2014,2014-01-01T00:00:00+01:00,2014-12-31T00:00:00+01:00
